Number Order Height TxHash Address Amount(Meer) TimeWeight TotalLockAmount(Meer) profit(Meer)
69 84046 84033 6a2f9ceeba0d73bde558ec47567adff36e598ce505197d99548ab2ac3d351466 MmPdHrY5dm1ztqLaFj8Fe2m2PjqR4fF6qg7 999.99000000 5 108144.84189685 132.64279001
70 85538 85525 688f94c4f3e48be7c2271af12d03f87e4fb8118eb1f99ac0bf22261b74d798f5 Mmf6sxKjvFZnwmjvEFw8D5T1Je1PD5L781y 500.00000000 5 108644.84189685 66.32205822
71 85581 85568 85ebee3e05740a9842757e057ac79e41bac21bafdfeeb02edbcf67284d7ec764 MmhfJM7eiW4yCdedhSG3FxZnyMZX8Qus53z 0.05000000 5 108644.89189685 0.00663220
72 85690 85677 36f937c48171fd3ed8c80839b6e2e1fdc2de52056a6a8157478d52bbee928040 Mmbb6ThuS7YMQgNuqWNJnXugBJ47cW9wimK 500.00000000 5 109144.89189685 66.32205822
73 85693 85680 2ec008a12d7b0291f745b413f07faf02f3c58c0d0eda6ccffbc6405a6b6f0263 MmiLiuSNEfU1zZjhc3Xnhp9uZwdEMXg5KQK 501.00000000 5 109645.89189685 66.45470234
74 85762 85749 0e28b5ce74611d33ef8736d475560df12c64ac94691d70854ec05d75d823f637 MmNKboRciPdpfCWRafpAZ6W6u21ST34ZwmN 300.00000000 5 109945.89189685 39.79323493
75 85764 85751 ca586a233c1b5da556874cbcadeeaa785c38ce842d637d40ab5e6f337abefe74 MmchK5bsiUcKMjkuiS48fNjEMSFuu4qYhk8 999.00000000 5 110944.89189685 132.51147233
76 85907 85894 a3a7c71972b85c483b36c53b79c4d17baaa9a0922232575e80c95590f47d8aea MmfFwmZMZpaxRGXC7eeND53W7ogybC7Z36A 270.00000000 5 111214.89189685 35.81391144
77 85949 85936 ac2a88cfdf702ad1936598bee976c5f8b407753cf249be82747e35d712995c7b MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 87.00000000 5 111301.89189685 11.54003813
78 85965 85952 2613addb4d1b1a85042e5af02a1293c6e885206b6470eec9df3340a86d863cc7 MmMP7qSXAUak3SyzEtALtd7HH9FZzNxi6qZ 1000.00000000 5 112301.89189685 132.64411645
79 86013 86000 67b111261b9a95ee0b22b8c47d0441af7ae26e9222a9f5d87148f510ebdc1142 Mmgcn516E1hHsrAwSF65yoBU8nGHaNnwf7n 2.90000000 5 112304.79189685 0.38466793
80 86129 86116 8c68d43ee1d3fcb84728997e6f49b94249105b3d99dc63975363878592b6dfcb Mmbyn3QvdrQZChT2QNbaZQxNFccpToz2inE 1000.00000000 5 113304.79189685 132.64411645
81 86299 86286 91cc3eeda71910c214d38e032f95de12ce16bddd744f697db767d5aad6725ddb MmUJsXuKDjoj1CFMffgDA5r7ctopJBexYay 500.00000000 5 113804.79189685 66.32205822
82 86313 86300 2a23565eb995d16466d1993a28d96ef4e78adab52a2706fd449d867a4d8e1582 MmVpCRY8HDq5Jm6sTxGUpP2TSkFDrdWHHcG 500.00000000 5 114304.79189685 66.32205822
83 86346 86333 ea7f5257187175d2a7a0c2b54474be959a8e0e411199d6de80b7116208de8376 MmgiLn3C2pJoHFvJWsekdrFMY7U8et1psKK 500.00000000 5 114804.79189685 66.32205822
84 86353 86340 f03d09e5f7ac3f711201bdf1f60967f29bfeca593d13cb2401198dc892754999 MmMP7qSXAUak3SyzEtALtd7HH9FZzNxi6qZ 1000.00000000 5 115804.79189685 132.64411645
85 86356 86343 322164f1c02f64bb9699d5d999b60fdbf6cd0434cdaec0b1e966a9513398edfa MmNFLywZ2DbNyyte5mwXEV4EL88yVt9jW3h 500.00000000 5 116304.79189685 66.32205822
86 86365 86352 2cd1efab18eb5ef57fad25777a815ca7e486bd30f0b67450cfb927e511d83a8f MmXqhp8YxKuqKu88uFZ2F9koB8VQB8PEhWh 500.00000000 5 116804.79189685 66.32205822
87 86395 86382 6307ae4fcdbfe90c08868ac98627558e6a1cd15a1a06becbadf91b8404f899eb MmVsfChfXVWULSrZUpH5BrZ76uDuQa9Wn5T 87.00000000 5 116891.79189685 11.54003813
88 86408 86395 7785a09a19656921a8a29b06f59bf4bb1a596d37a71097c80e29e967cb0de706 MmTCzei9bE11GR4kZroY8pgXDCSh61VNv1u 500.00000000 5 117391.79189685 66.32205822
