Number Order Height Address Amount(Meer) ComProfit(Meer)
2892 728909 649836 MmffLLdETmskgEqGnMoLT9vSkLXXUiKNsNC 1000.00000000 142.03946947
2893 730733 651607 MmW3JBbvN31ZqjuV4B2HcPKaW1fzWKPE6ct 100.00000000 14.20394694
2894 731424 652224 MmMXzocAMdDvhJXwuYrbhnyyu6Lsaxt1mrV 2000.00000000 284.07893895
2895 731466 652259 MmLaZiwRNbu5SfXYgmHDCJ8SJ8pGPxRMMQY 2000.00000000 284.07893895
2896 731466 652259 MmcVXrxV7KV8tWnG3FX7MURXbZdeHutnsR8 2000.00000000 284.07893895
2897 731475 652264 MmLaZiwRNbu5SfXYgmHDCJ8SJ8pGPxRMMQY 500.00000000 71.01973473
2898 731674 652444 MmcZJWiPhNwBKDW6WkrRyurshio42Lnhpdf 5676.00000000 806.21602874
2899 731786 652530 MmT1amMrhyiCxB6kLYdAaY1BG4YiibzRCnC 3895.00000000 553.24373361
2900 732331 653046 MmbBhxR9DNsTAxSb9fkeza31LSpVt6p8kba 20000.00000000 2840.78938952
2901 732504 653208 MmQk7rJH19WMZwzAm3UFS8721RgHcnD5q15 2400.00000000 340.89472674
2902 733000 653668 Mma9ezvbzSYNLEXPasWokx1GaoDtUNe1682 69.00000000 9.80072339
2903 733096 653759 MmPVnee3txzJ4sjoJGv7JMpbYyoUsMi91zz 270.00000000 38.35065675
2904 733197 653850 Mmcs7fPJG66te7uaFByCLRhqxf1eYAeuxQQ 2705.00000000 384.21676493
2905 734421 655054 MmQJGuWyE7crpbTByNcNTuMXZhvcFfHBxXH 1993.00000000 283.08466266
2906 734838 655454 MmX189QMgdNy1oH4dQnECWQx8y8jjyT6Riq 24000.00000000 3408.94726743
2907 734872 655477 MmSrcbCMkmjXt3DdzeCXYPxvdPB8ippZQoH 220.00000000 31.24868328
2908 735234 655743 MmZL4QEqvzfNUJnjNQKk9CKWnmzHxkbEESU 549.00000000 77.97966874
2909 735315 655802 MmTj8G6QyrAJhunACnLJAz1XQahwLYHyuvN 1000.00000000 142.03946947
2910 735317 655803 MmZJx95wjqwMjJwtqdQUHb5AfCbmZKYuXFU 1499.00000000 212.91716474
2911 735404 655867 MmgSuw7uHMZves6K5UAE6wL1niMENMxGXge 553.19805900 78.57595881
2912 735421 655876 MmgSuw7uHMZves6K5UAE6wL1niMENMxGXge 446.89155350 63.47623917
2913 736210 656479 MmVJsZB5BeKptuUPbdvQEd2nuD5cWog2LAS 1679.00000000 238.48426925
2914 736306 656547 MmLYRMBvFyAoyrgVnFy2VqGbXToErqGSofY 1500.00000000 213.05920421
2915 737551 657577 MmPLTR1gSP7ER8f52WriD1sTQMULLf9PnHU 118.00000000 16.76065739
2916 737578 657599 MmhbU4qoj3tabg7XkENevyrFxqCmZPLF9Cc 50.00000000 7.10197347
2917 738280 658158 MmT1UvceCdvi78cSPUuNSHs2NTcnTfEsAbp 5000.00000000 710.19734738
2918 738298 658175 MmPiVuq8niBSNxRLgy1FGqtZbCeuTRf9x7s 1200.00000000 170.44736337
2919 738639 658445 MmU7hPyU9EQBF2WzhqesaPyoQbs9kqQ7mvy 540.00000000 76.70131351
2920 739086 658871 MmWchzvBPjv7thEJ1UYXUhrooucvS2xPxdy 636.00000000 90.33710258
2921 739136 658918 MmMZFPMZ3KYMzj6EXQjckQvKqz3SC6t4vDF 2500.00000000 355.09867369
2922 739415 659166 Mmi2ECZSGj6ieCxLWhEpBH5DbtQPfJpbRH1 1000.00000000 142.03946947
2923 739819 659551 MmXNioLDgmWcjGR2FjCVLv17HvQTsqictGV 334.00000000 47.44118280
2924 739835 659563 MmT1UvceCdvi78cSPUuNSHs2NTcnTfEsAbp 2100.00000000 298.28288590
2925 740699 660391 MmUoK7TCKdzfZLNGZggxaMhDdhuDs4w6Gdf 200.00000000 28.40789389
2926 740955 660640 MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY 100.00000000 14.20394694
2927 741218 660844 Mmc6fGJRnjMi43hJfxUQPsKmHYyBrLJMiEn 400.00000000 56.81578779
2928 741571 661110 MmMau4EhdL2EJ3MSzguhs5prENQLJN3zbBG 1000.00000000 142.03946947
2929 741726 661243 MmZjs47bHAs9TwLx48sKGBLMrM48MnS3rHn 1700.00000000 241.46709810
2930 741728 661245 MmaouT6hH8S9ZDcVCPpeN837GH3aAAbcKLj 4300.00000000 610.76971874
2931 741745 661259 Mme42Zuov1EFZga1oFcZ1iRoYjcVgrovfHt 2600.00000000 369.30262063
2932 741748 661261 MmXZ3YMmDyRVxYPryV9nxogfaqvRNQNwiCi 2200.00000000 312.48683284
2933 741781 661283 MmViobsYNzXWd3hq1mdhvfL8yevobeUpoBN 1130.00000000 160.50460050
2934 741791 661288 Mmdqc2jfc2D6yB5b2Xr3k9ZZBdzKrt7hDt9 4500.00000000 639.17761264
2935 741808 661299 MmXZ3YMmDyRVxYPryV9nxogfaqvRNQNwiCi 1600.00000000 227.26315116
2936 742031 661479 MmcHD8inhSTHBnSx9AxfbV5kJtRsYLAc7jf 1213.00000000 172.29387647
2937 742066 661503 MmirCqntQTvw24a6AJGmS9qiwbR7eKodabt 170.00000000 24.14670981
2938 742121 661553 MmNPgMZKZqGSNQ4saEHdHjD4KQQoBXCSMPh 1000.00000000 142.03946947
2939 742202 661631 MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 500.00000000 71.01973473
2940 742220 661647 MmSMYwC86eFmQ6DcEimkxUVuf55rntAqXqY 600.00000000 85.22368168
2941 742230 661654 MmaouT6hH8S9ZDcVCPpeN837GH3aAAbcKLj 2300.00000000 326.69077979
2942 742231 661655 MmViobsYNzXWd3hq1mdhvfL8yevobeUpoBN 1070.00000000 151.98223233
2943 742232 661656 MmcHD8inhSTHBnSx9AxfbV5kJtRsYLAc7jf 825.00000000 117.18256231
2944 742431 661814 MmhvytPcHiR4K5zSLWWKazceyq2JBF5DsUn 11400.00000000 1619.24995202
2945 742971 662337 MmTVSaZY5LTvmGdEzPrZpHy1a4vpKNXJYkz 2940.00000000 417.59604026
2946 744133 663481 MmZNJDeyZu7EMJsovsw8UweFiSMWnrUhnPS 100.00000000 14.20394694
2947 744140 663484 MmgmZdYombwcny2su5EfiWv6SXmiKNZAneU 100.00000000 14.20394694
2948 744387 663685 MmNFV8WgmxHNCTApT2rWYB5bf9YFMPsgQTr 164.00000000 23.29447299
2949 744704 663943 MmLmALtdu15hVzn9zpXN18rrw1RPfNsJ2mW 92.00000000 13.06763119
2950 744993 664161 MmRVfzXwEExEyfEA1V6Xx27LMjByPF2GPwE 2900.00000000 411.91446148
2951 744994 664162 MmZjs47bHAs9TwLx48sKGBLMrM48MnS3rHn 833.00000000 118.31887807
2952 744995 664163 MmQKRjxeMRshzHTEXpYJDcRVxZd4Hp2jLef 300.00000000 42.61184084
2953 745278 664368 MmWgKrQS1gWPempAVfqBZpUwxCkPF4jsEps 55.00000000 7.81217082
2954 745358 664425 MmhbU4qoj3tabg7XkENevyrFxqCmZPLF9Cc 50.00000000 7.10197347
2955 745455 664490 MmQWJohAmx8WWCmm5Lr4UMGDme7qJgGRPmq 3500.00000000 497.13814316
2956 748133 666943 MmaQJQ46cwSyo3SDKZ9ycysYjMDpdcSwZoH 1010.00000000 143.45986417
2957 748159 666960 MmKkZMT9crb8yhwLBKnaf5URaFtb2j8qN1C 1000.00000000 142.03946947
2958 748190 666988 MmWchzvBPjv7thEJ1UYXUhrooucvS2xPxdy 790.00000000 112.21118088
2959 748235 667025 MmgqW999BEJQG4TgnpLQQghmM1NVVJWsjVy 500.00000000 71.01973473
2960 748423 667173 MmVBSibBfxFLMvrGKNoTD6VJWGYMmDxXEQj 202.00000000 28.69197283
2961 748485 667216 MmS2z9EZytZGw4iKnTJaPUCfSFfEixjDsip 210.00000000 29.82828859
2962 748647 667356 MmNm3De8Vw424j8tTRriWLgkjGkaiv7hU6G 544.00000000 77.26947139
2963 749352 668024 MmchK5bsiUcKMjkuiS48fNjEMSFuu4qYhk8 1000.00000000 142.03946947
2964 750836 669454 MmbsRnNDwBkg95X9TvYHrNwJdv5byVMBoBh 500.00000000 71.01973473
2965 750941 669532 MmiTMKzVyjokcpfoCfL1w6JBB2xnPuro8f7 42.13000000 5.98412284
2966 751049 669615 MmLz7vjP9oEHGP8Y1r1n98gXoZrSeZcW1GB 15000.00000000 2130.59204214
2967 751253 669772 MmdeKjB16Y6Z3A5JyD4CFU3ciVDMk4CXt1J 1000.00000000 142.03946947
2968 751633 670051 MmeRJwnpKThkfBwY4xGqo4MgVeMwwJ1iqUX 1145.00000000 162.63519255
2969 751911 670294 Mmf6SFTRny4UX4sXjNa2pA1WVhh8vVdqs6e 0.23000000 0.03266907
2970 752573 670891 MmihdusdKe8QtxqiA6mvzUrLecLdpmwhLh2 90.00000000 12.78355225
2971 752967 671269 MmYfc3JmygGmzje3RroCcxSxEDHZZF3pjwM 1078.00000000 153.11854809
2972 754487 672623 MmiCRVTX4B3EuFxWPLUcd2PoQCezVUZo4e8 500.00000000 71.01973473
2973 754690 672773 MmWgKrQS1gWPempAVfqBZpUwxCkPF4jsEps 57.00000000 8.09624976
2974 754796 672855 Mmg7FU5sotfVmjiabudXQGR5mkm5AeLsrhS 10000.00000000 1420.39469476
2975 755153 673141 MmNFV8WgmxHNCTApT2rWYB5bf9YFMPsgQTr 193.00000000 27.41361760
2976 755210 673188 MmW3JBbvN31ZqjuV4B2HcPKaW1fzWKPE6ct 100.00000000 14.20394694
2977 755361 673321 MmLmALtdu15hVzn9zpXN18rrw1RPfNsJ2mW 123.00000000 17.47085474
2978 756609 674537 MmhbU4qoj3tabg7XkENevyrFxqCmZPLF9Cc 50.00000000 7.10197347
2979 758171 675921 MmiZtXmUGTouVLWD4k1p5keWBzkRey9G9h7 500.00000000 71.01973473
2980 758914 676598 MmYnzST8cNgHZTu7b4pXn5GpDq4VDYVh9R3 15000.00000000 2130.59204214
2981 759210 676884 MmNCXReEaFeMsFdBtrEqKqB1ryk5QLG7kMv 1000.00000000 142.03946947
2982 760544 678116 MmT2KUn6cDUb6mdYdA5YyNfAoywFUA3pKS2 800.00000000 113.63157558
2983 760546 678118 MmKoFhzaEc9x1oUKkt5zxXqAcFi92JiDpaG 3445.00000000 489.32597234
